,0,1,2
0,0.562319815158844,0.08624304831027985,0.35143718123435974
1,0.580672562122345,0.10038131475448608,0.31894609332084656
2,0.5996823310852051,0.12070783972740173,0.2796097993850708
3,0.6172700524330139,0.15358470380306244,0.22914524376392365
4,0.6225153207778931,0.21517640352249146,0.16230832040309906
5,0.5670388340950012,0.3547745943069458,0.07818658649921417
6,0.10214497894048691,0.8970092535018921,0.0008457855437882245
7,0.10377651453018188,0.8953381776809692,0.000885218963958323
8,0.10885400325059891,0.8901532292366028,0.000992789980955422
9,0.11387031525373459,0.8850235342979431,0.001106197596527636
10,0.11820142716169357,0.8805869817733765,0.0012116070138290524
11,0.12252753227949142,0.8761513829231262,0.001321127056144178
12,0.12613758444786072,0.8724446892738342,0.0014177977573126554
13,0.1282302439212799,0.8702930808067322,0.0014766808599233627
14,0.12332896143198013,0.8753284811973572,0.0013425516663119197
15,0.3998553156852722,0.029817571863532066,0.5703271627426147
16,0.18239843845367432,0.00476441252976656,0.8128371834754944
17,0.11030032485723495,0.0016674748621881008,0.8880321979522705
18,0.075978584587574,0.0007848964887671173,0.9232364892959595
19,0.056592199951410294,0.00043650311999954283,0.9429713487625122
20,0.04443545639514923,0.0002707131498027593,0.9552938342094421
21,0.03623043745756149,0.00018125180213246495,0.9635883569717407
22,0.03039752133190632,0.00012852520740125328,0.9694739580154419
23,0.026082759723067284,9.530420356895775e-05,0.9738218784332275
24,0.02278861403465271,7.32447297195904e-05,0.9771381616592407
25,0.02020811103284359,5.7962224673246965e-05,0.9797338843345642
26,0.018142854794859886,4.6997189201647416e-05,0.9818100929260254
27,0.016459859907627106,3.889553408953361e-05,0.9835012555122375
28,0.015066933818161488,3.275783819844946e-05,0.9849003553390503
29,0.013898538425564766,2.8006956199533306e-05,0.9860734939575195
30,0.012906914576888084,2.426005812594667e-05,0.987068772315979
31,0.012056584469974041,2.1256133550195955e-05,0.9879221320152283
32,0.0113206896930933,1.8812708731275052e-05,0.988660454750061
33,0.010678586550056934,1.6799413060653023e-05,0.9893046617507935
34,0.010114186443388462,1.5121336218726356e-05,0.9898707270622253
35,0.009614776819944382,1.3708118785871193e-05,0.9903715252876282
36,0.009170175530016422,1.2506739039963577e-05,0.9908173084259033
37,0.00877220556139946,1.147676448454149e-05,0.9912163019180298
